ID,Lon,Lat,WS,WE,TS,TE,MaxDuration
P-049703,-73.91552,40.82471,Mon,Sat,19:00,08:00,1
P-132428,-73.9175,40.84634,Mon,Fri,18:00,10:00,88
P-149191,-72.02306,44.41655,Mon,Sat,08:00,19:00,1
P-149195,-105.0083,39.55573,Mon,Sat,08:30,19:00,1
P-232907,-73.90763,40.88444,Mon,Sat,08:00,19:00,2
