Facility.Name,Facility.Street,latitude,longitude
JERUSALEM DIAGNSTC &,3803 TENTH AVENUE   ,40.64488,-73.992187
JOHANNA TRANSMISSION,185 E 109TH ST      ,40.793811,-73.943549
JTE SERVICE STATION ,242 DYCKMAN ST      ,40.866066,-73.928475
JR AUTO SERVICES    ,89 ST NICHOLAS PL   ,40.830054,-73.940809
KING DAVID AUTO     ,545 W 37TH ST       ,36.879372,-76.290157
L&W REPAIR SHOP INC ,39 KENMARE ST       ,40.720932,-73.995332
LASTA LAL AUTO      ,2015 THIRD AVE      ,40.794492,-73.942185
LEXUS OF MANHATTAN  ,646-662 ELEVENTH AVE,40.764172,-73.995549
MAGIC AUTO REPAIR&  ,3769 TENTH AVE      ,40.861042,-73.920942
M&P MECHANICAL      ,2238 AMSTERDAM AVE  ,40.842153,-73.935763
MAGS MOTORCYCLES LLC,155 AVE OF AMERICAS ,40.725395,-74.004804
LUDLOW GARAGE INC   ,152 ATTORNEY ST     ,40.720247,-73.98321
LUDLOW GARAGE INC   ,151 ATTORNEY ST     ,40.720438,-73.983695
MANHATTANS EXQUISITE,334 EAST 126TH ST   ,40.802498,-73.931493
MANHATTAN SONS      ,647 W 130 ST        ,41.258436,-81.784938
MANHATTAN AUTOMOBILE,512 EAST 74TH ST    ,40.767548,-73.951909
MANHATTAN AUTO CARE ,275 DELANCEY ST     ,40.715466,-73.980471
MARTYS AUTO BODY    ,249 10TH AVE        ,40.748946,-74.003752
MANHATTAN COLLISION ,428 WEST 19TH STREET,40.74442,-74.004583
MASERATI-VOLVO CARS ,619 WEST 54TH STREET,40.769139,-73.993608
MANHATTAN           ,327 EAST 84 ST      ,42.811698,-85.6556
MANHATTAN AUTO      ,615 11TH AVENUE     ,40.763091,-73.996703
MANDE COMPLETE AUTO ,304 WEST 155TH ST   ,40.829299,-73.937946
MARMIN COLLISION    ,517 EAST 73RD STREET,40.767282,-73.952048
MIKES AUTO ELECTRIC ,604 WEST 30TH STREET,40.753301,-74.004505
MIDTOWN CENTER AUTO ,537 WEST 38TH STREET,40.758023,-73.998907
MIGUELS AUTO INC    ,3801 10TH AVE       ,43.097222,-94.442721
MIDTOWN CENTER AUTO ,548 WEST 29TH STREET,40.752201,-74.003811
MIDTOWN CENTER AUTO ,548 WEST 29TH STREET,40.752201,-74.003811
MOONDOG CYCLES INC  ,275 DELANCEY STREET ,40.715466,-73.980471
MOBILE MECHANIC NYC ,221 EAST 28TH STREET,40.741753,-73.979746
MINI OF MANHATTAN   ,793-805 11TH AVENUE ,40.769612,-73.992384
MRM AUTO INC        ,24 2ND AVENUE       ,40.724265,-73.990314
N&J AUTO REPAIR     ,3795 10TH AV        ,40.862033,-73.920325
