"Location","Time","AM.PM","lat","long"
"UNIONPORT RD  BX","0217","A",40.841258,40.841258
"UNIONPORT ROAD  BX","0118","A",40.841258,40.841258
"PURDY STREET  BX","0615","A",40.8376796,40.8376796
"METROPOLITAN OVAL  BX","0110","A",-0.0952434,-0.0952434
"MCGRAW AVE  BX","0630","A",40.8346086,40.8346086
"METROPOLITAN OVAL  BX","0622","A",-0.0952434,-0.0952434
"MCGRAW AVENUE  ","1116","P",40.8346086,40.8346086
"METROPOLITAN OVAL  BX","1035","P",-0.0952434,-0.0952434
"MCGRAW AVE  BX","0534","P",40.8346086,40.8346086
"WEST AVE  BX","0645","P",40.8375958,40.8375958
"MCGRAW  BX","0945","P",40.8346086,40.8346086
"ODELL STREET  BX","0511","A",40.8370586,40.8370586
"METROPOLITAN OVAL  BX","0256","A",-0.0952434,-0.0952434
"METROPOLITAN AVE  BX","0135","A",40.8384045,40.8384045
"METROPOLITAN OVAL  BX","0626","A",-0.0952434,-0.0952434
"UNIONPORT ROAD  BX","0156","A",40.841258,40.841258
"METROPOLITAN OVAL  BX","0303","A",-0.0952434,-0.0952434
"METROPOLITAN AVE  ","0258","A",39.327932,39.327932
"EAST TREMONT AVE  BX","0651","A",40.8410515,40.8410515
"EAST TREMONT  BX","0518","A",40.8453781,40.8453781
"E TREMONT AVE  BX","0216","A",40.8410515,40.8410515
"METROPOLITAN OVAL  BX","0120","A",-0.0952434,-0.0952434
"EAST TREMONT AVENUE  BX","0429","A",40.8410515,40.8410515
"METROPOLITAN OVAL  BX","0123","A",-0.0952434,-0.0952434
"ODELL STREET  BX","0347","A",40.8370586,40.8370586
"UNIONPORT ROAD  BX","0301","A",40.841258,40.841258
"E TREMONT AVE  BX","0452","A",40.8410515,40.8410515
"UNIONPOINT ROAD  BX","1217","A",40.841258,40.841258
"METROPOLITAN OVAL  BX","1226","A",-0.0952434,-0.0952434
"METROPOLITAN OVAL  BX","1234","A",-0.0952434,-0.0952434
"METROPOLITAN OVAL  BX","0015","A",-0.0952434,-0.0952434
"UNIONPORT ROAD  BX","0214","A",40.841258,40.841258
"METROPOLITAN OVAL  BX","1211","A",-0.0952434,-0.0952434
"UNIONPORT ROAD  BX","0325","A",40.841258,40.841258
"BOSTON RD BRYANT AVE BX","0716","P",42.3600825,42.3600825
"THIRD AVEUNE  BX","0712","P",48.3183969,48.3183969
"MARMION AVE  BX","0835","P",40.8426982,40.8426982
"167TH ST  Q","1032","A",41.5878032,41.5878032
"E HOUSTON ST  NY","1025","A",40.7216688,40.7216688
"E HOUSTON ST 2ND AVE NY","0738","A",40.7240965,40.7240965
"E HOUSTON ST CHRYSTIE ST NY","0137","P",40.723438,40.723438
"E/S 7TH AVE N/O W 31 ST NY","1037","A",40.7375212,40.7375212
"5TH AVE  NY","0445","P",40.7750534,40.7750534
"6TH AVE  ","0405","P",39.7255178,39.7255178
"7TH AVE  NY","0919","A",40.7668893,40.7668893
"CHAMBERS ST  NY","1045","A",40.7162918,40.7162918
"GREENWICH ST  NY","1105","A",40.7221373,40.7221373
"E 30TH ST  ","1225","P",39.8109953,39.8109953
"BRYANT PARK  ","1140","A",40.7556029,40.7556029
"5TH AVE  ","1215","P",31.9783534,31.9783534
"N/S 48 ST E/O 12TH NY","1005","A",40.7332675,40.7332675
"S/S 48 ST E/O 12TH AVE NY","1000","A",40.7332675,40.7332675
"WEST 175 STREET  NY","0508","P",40.8454459,40.8454459
"WEST 175 STREET  NY","0505","P",40.8454459,40.8454459
"WEST 175 STREET  NY","0755","P",40.8454459,40.8454459
"EDWARD MORGAN PL  NY","0352","A",40.8344115,40.8344115
"EDWARD MORGAN PL  NY","0352","A",40.8344115,40.8344115
"W 161 ST  NY","0205","A",40.8351238,40.8351238
"W 161 ST  NY","0915","P",40.8351238,40.8351238
"W/S FDR N/O E HOUSTON ST NY","0309","P",40.716755,40.716755
"BROADWAY  NY","0429","P",40.759011,40.759011
"BROADWAY  NY","0441","P",40.759011,40.759011
"BROADWAY  NY","0444","P",40.759011,40.759011
"BROADWAY  NY","0446","P",40.759011,40.759011
"S/S BLEECKER ST W/O CROSBY ST NY","0451","P",40.7226717,40.7226717
"GREAT JONES ST  NY","0537","P",40.7272842,40.7272842
"W 3RD ST  NY","0540","P",40.7293961,40.7293961
"MERCER ST  ","0550","P",41.3416387,41.3416387
"MERCER ST  NY","0554","P",40.7251925,40.7251925
"W/S NASSAU ST N/O FULTON ST NY","0631","P",40.6838353,40.6838353
"W/S NASSAU ST N/O FULTON ST NY","0633","P",40.6838353,40.6838353
"BROADWAY  NY","0348","P",40.759011,40.759011
"BROADWAY  NY","0357","P",40.759011,40.759011
"BROADWAY  NY","0358","P",40.759011,40.759011
"BROADWAY  NY","0407","P",40.759011,40.759011
"S/S BLEECKER ST E/O BROADWAY NY","0411","P",40.7287995,40.7287995
"BOND ST  NY","0422","P",40.7266358,40.7266358
"N/S BOND ST E/O BROADWAY NY","0425","P",40.7266358,40.7266358
"BROADWAY  NY","0435","P",40.759011,40.759011
"WASHINGTON PL  NY","0446","P",40.731638,40.731638
"E/S MERCER ST S/O W 3RD ST NY","0450","P",40.205134,40.205134
"S/S PRINCE ST W/O SULLIVAN ST NY","0543","P",40.7276175,40.7276175
"6TH AVE  NY","0547","P",40.742903,40.742903
"6TH AVE  NY","0549","P",40.742903,40.742903
"NASSAU ST  NY","0634","P",40.7095328,40.7095328
"BROADWAY  NY","0421","P",40.759011,40.759011
"BROADWAY  NY","0423","P",40.759011,40.759011
"BROADWAY  NY","0430","P",40.759011,40.759011
"BROADWAY  NY","0432","P",40.759011,40.759011
"SUMMERFIELD ST CYPRESS AVE Q","1046","A",36.1353384,36.1353384
"7TH AVE  NY","0725","P",40.7668893,40.7668893
"30 PL 47 AVE Q","0132","P",40.745483,40.745483
"30 PL 47 AVE Q","0140","P",40.745483,40.745483
"30 PL 47 AVE Q","1031","A",40.745483,40.745483
"30 PL 47 AVE Q","0143","P",40.745483,40.745483
"30 PL 47 AVE Q","1235","P",40.745483,40.745483
"YORK AVE  NY","1157","A",40.7694491,40.7694491
"W 37TH ST  ","1207","P",32.058907,32.058907
"BROADWAY  NY","0509","P",40.759011,40.759011
"W 46TH ST  NY","0433","P",40.7603874,40.7603874
"S/S JACKSON AVE 42 RD Q","0807","A",40.748406,40.748406
"E 62 ST  NY","0713","A",40.7624844,40.7624844
"W/S 31 ST S/O 47 AVE Q","1130","A",40.7435032,40.7435032
"23 ST  Q","0814","A",41.4385545,41.4385545
"E 59 ST  NY","0927","A",40.7615589,40.7615589
"E 59 ST  NY","0930","A",40.7615589,40.7615589
