Name,address,Rate(hourly),Latitude,Longitude
A& S Parking,103 W 108st,12,40.712784,-74.005941
West 108th Street Parking,234 W 108 st,8,40.802336,-73.966739
iPark(Imperial) 455 Central Park W,27W 105 st,12,40.79999,-73.9678
Rapid Park KRW Operating Corp.,204-205 W 101st,16,40.797681,-73.968467
"Central Parking system of ny,inc",424 Cathedral Pkwy,16,40.802279,-73.96224
Park-IT Oliantha Garage Corp,102 W 107 St,9,40.799986,-73.963109
EDISON Parkfast,409E 110st,10,40.712784,-74.005941
Parkology- Lease Parking Lot,179 E 108th st,8,40.793322,-73.944361
ICON East 105th St. Parking,156 E 105St,23,40.712784,-74.005941
Quik Park East 102nd Street Garage,315 E 102nd St,8,40.787672,-73.943339
M P G MP 99,1559 Lexington Ave,13,40.788021,-73.948996
ICON Kensington Enterprises,50W 97st,19,40.792829,-73.965881
ICON Columbus 95 Parking,105 S 95 th st,20,40.792556,-73.968397
Little Man LM Susie Parking,214 W 95th st,19,40.793517,-73.971794
SELECT AP Riverside Management LLC,321W 94st,n/a,40.794735,-73.975504
QUIK PARK 50/70 West 93rd Street,85W 92st,20,40.784203,-73.954886
Ipark W 90 Garage,101W 90st,18,40.789298,-73.970535
Rapid Park Wheat Garage,115W 89st,18,40.712784,-74.005941
iPark 1510 Lex Garage,126E 98st,13,40.787356,-73.950426
M P G MP 97,266E 97st,12,40.785029,-73.946785
RAPID PARK Rockmill Garage Corp,340 E 94 st,12,40.781985,-73.946211
GGMC Carnegie Car Park,40-60E 94st,19,40.785561,-73.954699
Glenwood Brittany Realty LLC,441 E 92st,11,40.780059,-73.945604
David Garage-Eli's Leasing Inc,422E 91st,11,40.901032,-73.834213
SELECT West 88th Garage LLC,207W 88st,n/a,40.712784,-74.005941
Garsch Garage Corp,175w 87st,17,40.788364,-73.974078
ICON Active Parking,280W 87st,32,40.787084,-73.97091
SP Plus Parking,147W 83st,22,40.778988,-73.960956
Champoin Click Parking,5W 82st,41,40.778801,-73.961394
ICON Ultra Park,274W 81st,42,40.785342,-73.979794
Rapid Park Riverside,70 Riverside Dr,42,40.785002,-73.982032
MTP 90st st. Operating LLC,412 E 90st,9,40.778775,-73.946537
Glenwood Andover Realty LLC,480 E 89st,10,40.712784,-74.005941
LAZ East 87th,1664 York Ave,21,40.776936,-73.946373
Rapid Park East 87th Streer Corp,55E 87st,26,40.781363,-73.957434
iPark 110 Garage,570 E 85st,15,40.775995,-73.949665
SP Plus parking system,185 E 85 st,20,40.778699,-73.954655
ICON Alert Parking,30E 85st,40,40.767072,-73.884853
Champoin Parking 83rd St,303E 83st,14,40.77609,-73.952668
iPark 1025 5th Ave,11E 83st,24,40.778988,-73.960956
GMC Wayne Garage,111 E 82st,25,40.777484,-73.958266
iPark 345E Garage,345 E 80st,14,40.773443,-73.952357
SP Plus Parking,214 W 80th st,18,40.784071,-73.978985
RAPID Park Bew Parking,254W 79st,27,40.784,-73.980804
Enterprise Barmax Garage,203W 77st,19,40.712784,-74.005941
GMC Laureate Garage,210 W 76st,30,40.78124,-73.980443
Champion Carousel Parking,201W 75st,37,40.771594,-73.958857
11 Riverside Drive Garage Corp,380 W 74st,20,40.712784,-74.005941
Rapid Park 15west 72nd street,15w 72st,30,40.777061,-73.976937
ICON Astro Parking,155w 70st,30,40.777162,-73.981612
Quik Park Hudson 200,450W 70st,18,40.712784,-74.005941
ICON Superior Parking,515E 79st,25,40.770979,-73.948782
GGMC Continent 79st Garage Corp,50E 79st,26,40.776046,-73.961915
IMPARK Empire Garage,188E 78st,29,40.773671,-73.958335
S.T.A Parking Corp,433E 76st,15,40.769784,-73.95244
"SP Plus Parking System of NY, INC",535 E 75St,23,40.768187,-73.950783
Champion Parking 77th Street,51 E 77st,39,40.712784,-74.005941
Mega Parking System Inc,319-345 E 74St,18,40.591381,-73.802421
Rapid Park 75th street corp.,35E 75st,40,40.779048,-73.976016
