Name,address,Rate(hourly),Latitude,Longitude
SRM,3936 10th Ave(at Sherman Ave),5,40.866193,-73.918
EDISON parkfast,3976 10th Ave(bet. 213-214st),8,40.712784,-74.005941
Sherman Parking,210 Sherman Ave,5,40.86551,-73.920836
Diamond1 Parking Garage Inc.,284 Dyckman st,12,40.866905,-73.929506
EDISON parkfast2,270 Dyckman st,8,40.866691,-73.929248
3896 Parking Corp.,3896 10th Ave,7,40.865523,-73.918585
All parking Lot,5051 Broadway,8.5,40.870062,-73.915645
Central Parking system in ny,5141 Broadway,15,40.873307,-73.913055
"5060 Auto Service, Inc",4036 10th Ave,4,40.869611,-73.915196
SP Plus West 216th St. Garage,4055 10th Ave,5,40.870108,-73.913705
PV Parking Corp,554W 174st,7,40.844279,-73.936364
"SP Plus parking System of NY, Inc",1101 St. Nicholas Ave,13,40.838735,-73.939865
"SP Plus parking System of NY, Inc2",143 Fort Washington Ave,19,40.840131,-73.943122
SP Plus The Barrington Travel Group,458 W 165 St,10,40.837469,-73.937374
J&B Parking Lot,477 W 165 St,10,40.837835,-73.93762
UNI Facility Corp.,4070 Broadway,11,40.843565,-73.938702
Select ap 127th management LLC,311 W 127th St,n/a,40.811989,-73.950879
Park 115 LLC,313W 115th St,6,40.796186,-73.937388
iPark Manhattan Ave Garage,314 W 120th St,12,40.807195,-73.954607
Park 117 LLC,276 W 118th St,12,40.805487,-73.953863
Park-it Able Parking Corp.,160 W 124th st,13,40.808058,-73.948299
GGMC The Lionsgate,512-520W 112th st,18,40.804548,-73.963966
FDB Garage,2280 Frederic Douglass Blvd,12,40.808372,-73.952056
SP Plus st.Luke's hospital 1090 garage,502 W 114 St,18,40.805565,-73.962171
M P G MP 110,543W 110St,18,40.712784,-74.005941
SGN Parking,270W 126th st,14,40.810447,-73.950304
GMC University Garage,532-538W 122 st,18,40.811446,-73.960477
Rapid Park Claremont Parking Corp.,621 W 120 St,18,40.811172,-73.963171
IMPARK 126th Street Garage,216W 126 St,12,40.809916,-73.948525
Taino Towers Garage Corp.,221 E 122St,6,40.80168,-73.936481
iPark E 124 Garage,245 E 124St,6,40.802471,-73.93449
Park-it Harl Parking Corp.,15 E 119 St,10,40.802397,-73.944523
GGMC VM parking Corp.,17 W 111st,10,40.798209,-73.950479
GGMC Parking Corp,19 E 111st,10,40.796908,-73.947392
Quik Park west 116th street,55W 115st,10,40.712784,-74.005941
East End Parking Corp,227E 125st,15,40.803302,-73.934828
Imperial Parking US. LLC,105E 121st,8,40.805478,-73.947909
iPark Central Harlem Garage,71W 116St,12,40.801829,-73.947835
iPark 116-117 Street Parking,22 West 117th St,12,40.802047,-73.947665
Parking Management Park North,220E 117st,15,40.798017,-73.938683
