ID,Boro,Community Board,Latitude,Longitude,Construction Status,Link Installation Status,Smallest PPT,Street Address,Orientation (Facing Front of Kiosk),Boro ID,Construction Complete (A),Location,Link Site ID
LINK-000067,Bronx,205,40.860215,-73.89306,Not Ready for CX,A - Link Live,116218,2461 Webster Ave,108 E,NY-BX,4/28/16,"(40.860214999999997, -73.893060000000006)",bx-05-116218
LINK-000070,Bronx,207,40.862644,-73.903244,Not Ready for CX,A - Link Live,119564,48 W Fordham Rd,4 N,NY-BX,8/12/16,"(40.862644000000003, -73.903244000000001)",bx-07-119564
LINK-000072,Bronx,205,40.861349,-73.898023,Not Ready for CX,A - Link Live,119575,2437 Grand Concourse,100 E,NY-BX,6/27/16,"(40.861348999999997, -73.898022999999995)",bx-05-119575
LINK-000074,Bronx,205,40.861655,-73.898581,Not Ready for CX,A - Link Live,119587,150 E 188St,9 N,NY-BX,4/28/16,"(40.861654999999999, -73.898580999999993)",bx-05-119587
LINK-000076,Bronx,205,40.859153,-73.898553,Not Ready for CX,A - Link Live,119628,2366-2370 Grand Concourse,338 N,NY-BX,4/28/16,"(40.859152999999999, -73.898553000000007)",bx-05-119628
LINK-000092,Manhattan,105,40.765828,-73.983364,CX Complete / Link Installed,A - Link Live,122622,944 8 Avenue,335 NW,NY-MN,7/19/16,"(40.765827999999999, -73.983363999999995)",mn-05-122622
LINK-000111,Manhattan,105,40.766175,-73.98199,Not Ready for CX,A - Link Live,122522,250 West 57St,42 NE,NY-MN,5/26/16,"(40.766174999999997, -73.981989999999996)",mn-05-122522
LINK-000130,Manhattan,105,40.746624,-73.988399,Not Ready for CX,A - Link Live,122180,1216 Broadway,227 SW,NY-MN,4/10/16,"(40.746623999999997, -73.988399000000001)",mn-05-122180
LINK-000141,Manhattan,105,40.749663,-73.988006,Not Ready for CX,A - Link Live,122369,1293 Broadway,99 E,NY-MN,4/28/16,"(40.749662999999998, -73.988005999999999)",mn-05-122369
LINK-000155,Manhattan,105,40.754494,-73.986941,Not Ready for CX,A - Link Live,122169,1431 Broadway,112 E,NY-MN,7/22/16,"(40.754494000000001, -73.986941000000002)",mn-05-122169
LINK-000158,Manhattan,105,40.754846,-73.986363,Not Ready for CX,A - Link Live,122171,1450 Broadway,4 N,NY-MN,7/22/16,"(40.754846000000001, -73.986362999999997)",mn-05-122171
LINK-000162,Manhattan,105,40.760413,-73.984541,Not Ready for CX,A - Link Live,133361,1600 Broadway,296 NW,NY-MN,5/14/16,"(40.760413, -73.984540999999993)",mn-05-133361
LINK-000163,Manhattan,105,40.760269,-73.984867,Not Ready for CX,A - Link Live,134185,1605 Broadway,147 SE,NY-MN,5/14/16,"(40.760269000000001, -73.984866999999994)",mn-05-134185
LINK-000164,Manhattan,105,40.760646,-73.98442,Not Ready for CX,A - Link Live,122088,1606 Broadway,316 NW,NY-MN,4/30/16,"(40.760646000000001, -73.98442)",mn-05-122088
LINK-000165,Manhattan,105,40.760622,-73.984234,Not Ready for CX,A - Link Live,133511,1606 Broadway,5 N,NY-MN,4/30/16,"(40.760621999999998, -73.984234000000001)",mn-05-133511
LINK-000166,Manhattan,105,40.76072,-73.984642,Not Ready for CX,A - Link Live,134155,1611 Broadway,101 E,NY-MN,5/26/16,"(40.760719999999999, -73.984641999999994)",mn-05-134155
LINK-000168,Manhattan,105,40.760883,-73.984278,Not Ready for CX,A - Link Live,133508,1626 Broadway,341 N,NY-MN,5/26/16,"(40.760883, -73.984278000000003)",mn-05-133508
LINK-000177,Manhattan,105,40.763981,-73.982638,Not Ready for CX,A - Link Live,122541,1701 Broadway,99 E,NY-MN,4/30/16,"(40.763981000000001, -73.982637999999994)",mn-05-122541
LINK-000178,Manhattan,105,40.764127,-73.98231,Not Ready for CX,A - Link Live,122529,1710 Broadway,306 NW,NY-MN,4/15/16,"(40.764127000000002, -73.982309999999998)",mn-05-122529
LINK-000180,Manhattan,105,40.764676,-73.982385,Not Ready for CX,A - Link Live,122532,1725 Broadway,107 E,NY-MN,5/14/16,"(40.764676000000001, -73.982384999999994)",mn-05-122532
LINK-000185,Manhattan,105,40.750087,-73.987781,Not Ready for CX,A - Link Live,122775,Herald Square,277 W,NY-MN,4/28/16,"(40.750087000000001, -73.987780999999998)",mn-05-122775
LINK-000223,Manhattan,103,40.733107,-73.987162,Not Ready for CX,A - Link Live,123265,123 3Rd Ave,309 NW,NY-MN,11/21/15,"(40.733106999999997, -73.987161999999998)",mn-03-123265
LINK-000224,Manhattan,106,40.733694,-73.987044,Not Ready for CX,A - Link Live,136486,130 3Rd Ave,135 SE,NY-MN,1/22/16,"(40.733694, -73.987043999999997)",mn-06-136486
LINK-000225,Manhattan,106,40.73347,-73.987384,Not Ready for CX,A - Link Live,123261,133 East 14Th St,197 S,NY-MN,6/29/16,"(40.733469999999997, -73.987384000000006)",mn-06-123261
LINK-000227,Manhattan,106,40.733794,-73.986675,Not Ready for CX,A - Link Live,133896,141 3Rd Ave,312 NW,NY-MN,11/12/15,"(40.733794000000003, -73.986675000000005)",mn-06-133896
LINK-000230,Manhattan,106,40.734499,-73.98618,Not Ready for CX,A - Link Live,133339,165 3Rd Ave,300 NW,NY-MN,11/17/15,"(40.734499, -73.986180000000004)",mn-06-133339
LINK-000231,Manhattan,106,40.742625,-73.980628,Not Ready for CX,A - Link Live,121495,154 E 29Th St,1 N,NY-MN,4/21/16,"(40.742624999999997, -73.980627999999996)",mn-06-121495
LINK-000232,Manhattan,106,40.748387,-73.976353,Not Ready for CX,A - Link Live,121521,155 East 38Th Street,83 E,NY-MN,2/12/16,"(40.748387000000001, -73.976353000000003)",mn-06-121521
LINK-000233,Manhattan,106,40.74829,-73.976516,Not Ready for CX,A - Link Live,136202,160 East 38Th Street,36 NE,NY-MN,2/1/16,"(40.748289999999997, -73.976516000000004)",mn-06-136202
LINK-000235,Manhattan,106,40.758276,-73.969132,Not Ready for CX,A - Link Live,134118,160 East 54Th,114 SE,NY-MN,2/3/16,"(40.758276000000002, -73.969132000000002)",mn-06-134118
LINK-000240,Manhattan,106,40.739531,-73.982889,Not Ready for CX,A - Link Live,121489,172 E 24Th St,7 N,NY-MN,4/21/16,"(40.739530999999999, -73.982889)",mn-06-121489
LINK-000241,Manhattan,106,40.734772,-73.986265,Not Ready for CX,A - Link Live,133531,180 3Rd Ave,115 SE,NY-MN,11/21/15,"(40.734772, -73.986265000000003)",mn-06-133531
LINK-000242,Manhattan,106,40.73535,-73.98585,Not Ready for CX,A - Link Live,133521,188 3Rd Ave,108 E,NY-MN,11/18/15,"(40.735349999999997, -73.985849999999999)",mn-06-133521
