ID,Boro,Community Board,Latitude,Longitude,Construction Status,Link Installation Status,Smallest PPT,Street Address,Orientation (Facing Front of Kiosk),Boro ID,Construction Complete (A),Location,Link Site ID
LINK-000243,Manhattan,106,40.735626,-73.985322,Not Ready for CX,A - Link Live,123634,203 3Rd Ave,305 NW,NY-MN,11/21/15,"(40.735626000000003, -73.985321999999996)",mn-06-123634
LINK-000251,Manhattan,106,40.750729,-73.974079,Not Ready for CX,A - Link Live,137072,201 East 42Nd St,229 SW,NY-MN,11/16/15,"(40.750729, -73.974079000000003)",mn-06-137072
LINK-000252,Manhattan,106,40.760207,-73.967177,Not Ready for CX,A - Link Live,134218,201 East 57Th Street,220 SW,NY-MN,4/21/16,"(40.760207000000001, -73.967177000000007)",mn-06-134218
LINK-000253,Manhattan,106,40.736214,-73.9849,Not Ready for CX,A - Link Live,133527,205 3Rd Ave,301 NW,NY-MN,5/11/16,"(40.736213999999997, -73.984899999999996)",mn-06-133527
LINK-000254,Manhattan,106,40.735839,-73.985171,Not Ready for CX,A - Link Live,133890,205 3Rd Ave,284 W,NY-MN,1/26/16,"(40.735838999999999, -73.985170999999994)",mn-06-133890
LINK-000256,Manhattan,106,40.736334,-73.985129,Not Ready for CX,A - Link Live,133525,220 3Rd Ave,103 E,NY-MN,4/7/16,"(40.736333999999999, -73.985129000000001)",mn-06-133525
LINK-000257,Manhattan,106,40.736427,-73.984751,Not Ready for CX,A - Link Live,133440,233 3Rd Ave,315 NW,NY-MN,1/26/16,"(40.736426999999999, -73.984751000000003)",mn-06-133440
LINK-000258,Manhattan,106,40.736789,-73.984486,Not Ready for CX,A - Link Live,123822,243 3Rd Ave,315 NW,NY-MN,1/26/16,"(40.736789000000002, -73.984486000000004)",mn-06-123822
LINK-000266,Manhattan,106,40.740041,-73.982424,Not Ready for CX,A - Link Live,121501,336 3rd Ave,109 E,NY-MN,1/26/16,"(40.740040999999998, -73.982423999999995)",mn-06-121501
LINK-000267,Manhattan,106,40.739964,-73.982043,Not Ready for CX,A - Link Live,103457,337 3Rd Ave On E25Th St,21 N,NY-MN,6/27/16,"(40.739964000000001, -73.982043000000004)",mn-06-103457
LINK-000269,Manhattan,106,40.740246,-73.982383,Not Ready for CX,A - Link Live,138462,340 3Rd Ave,209 SW,NY-MN,4/21/16,"(40.740245999999999, -73.982382999999999)",mn-06-138462
LINK-000272,Manhattan,106,40.740573,-73.981729,Not Ready for CX,A - Link Live,121539,355 3Rd Ave,300 NW,NY-MN,11/12/15,"(40.740572999999998, -73.981729000000001)",mn-06-121539
LINK-000273,Manhattan,106,40.740775,-73.981576,Not Ready for CX,A - Link Live,121499,359 3Rd Ave,315 NW,NY-MN,11/14/15,"(40.740774999999999, -73.981576000000004)",mn-06-121499
LINK-000276,Manhattan,106,40.741169,-73.981297,Not Ready for CX,A - Link Live,121498,371 3Rd Ave,332 NW,NY-MN,1/22/16,"(40.741168999999999, -73.981296999999998)",mn-06-121498
LINK-000278,Manhattan,106,40.742007,-73.98068,Not Ready for CX,A - Link Live,121496,395 3Rd Ave,304 NW,NY-MN,4/21/16,"(40.742007000000001, -73.980680000000007)",mn-06-121496
LINK-000284,Manhattan,106,40.743093,-73.979813,Not Ready for CX,A - Link Live,121506,429 3Rd Ave,9 N,NY-MN,5/11/16,"(40.743093000000002, -73.979812999999993)",mn-06-121506
LINK-000286,Manhattan,106,40.743954,-73.979652,Not Ready for CX,A - Link Live,121505,450 3Rd Ave,179 S,NY-MN,4/21/16,"(40.743954000000002, -73.979652000000002)",mn-06-121505
LINK-000287,Manhattan,106,40.743876,-73.979316,Not Ready for CX,A - Link Live,133465,451 3Rd Ave,291 W,NY-MN,11/21/15,"(40.743876, -73.979315999999997)",mn-06-133465
LINK-000292,Manhattan,106,40.745116,-73.978416,Not Ready for CX,A - Link Live,121502,489 3Rd Ave,328 NW,NY-MN,2/2/16,"(40.745116000000003, -73.978415999999996)",mn-06-121502
LINK-000297,Manhattan,106,40.746449,-73.977444,Not Ready for CX,A - Link Live,121513,525 3Rd Ave,348 N,NY-MN,2/4/16,"(40.746448999999998, -73.977444000000006)",mn-06-121513
LINK-000298,Manhattan,106,40.746542,-73.977695,Not Ready for CX,A - Link Live,121512,528 3Rd Ave,101 E,NY-MN,11/12/15,"(40.746541999999998, -73.977694999999997)",mn-06-121512
LINK-000302,Manhattan,106,40.747672,-73.976965,Not Ready for CX,A - Link Live,138165,558 East 37Th St,6 N,NY-MN,5/11/16,"(40.747672000000001, -73.976965000000007)",mn-06-138165
LINK-000303,Manhattan,106,40.74779,-73.976782,Not Ready for CX,A - Link Live,121522,560 3Rd Ave,139 SE,NY-MN,11/14/15,"(40.747790000000002, -73.976782)",mn-06-121522
LINK-000304,Manhattan,106,40.748289,-73.976105,Not Ready for CX,A - Link Live,121352,581B 3Rd Ave,335 NW,NY-MN,11/12/15,"(40.748289, -73.976105000000004)",mn-06-121352
LINK-000306,Manhattan,106,40.748822,-73.976034,Not Ready for CX,A - Link Live,121519,596 3Rd Ave,153 SE,NY-MN,3/15/16,"(40.748821999999997, -73.976033999999999)",mn-06-121519
LINK-000308,Manhattan,106,40.748732,-73.97536,Not Ready for CX,A - Link Live,138030,605 3Rd Ave,238 SW,NY-MN,5/11/16,"(40.748731999999997, -73.975359999999995)",mn-06-138030
LINK-000310,Manhattan,106,40.748914,-73.975648,Not Ready for CX,A - Link Live,121364,605 3Rd Ave,336 NW,NY-MN,11/16/15,"(40.748913999999999, -73.975648000000007)",mn-06-121364
LINK-000313,Manhattan,106,40.750156,-73.974741,Not Ready for CX,A - Link Live,121527,639 3Rd Ave,326 NW,NY-MN,6/10/16,"(40.750155999999997, -73.974740999999995)",mn-06-121527
LINK-000315,Manhattan,106,40.750389,-73.974858,Not Ready for CX,A - Link Live,137977,640 3Rd Ave,106 E,NY-MN,12/1/15,"(40.750388999999998, -73.974857999999998)",mn-06-137977
LINK-000316,Manhattan,106,40.75096,-73.974468,Not Ready for CX,A - Link Live,121362,666 3Rd Ave,123 SE,NY-MN,11/12/15,"(40.750959999999999, -73.974468000000002)",mn-06-121362
LINK-000317,Manhattan,106,40.751406,-73.974143,Not Ready for CX,A - Link Live,121536,666 3Rd Ave,70 E,NY-MN,2/4/16,"(40.751406000000003, -73.974142999999998)",mn-06-121536
LINK-000320,Manhattan,106,40.751497,-73.973765,Not Ready for CX,A - Link Live,121535,685 3Rd Ave,317 NW,NY-MN,7/14/16,"(40.751497000000001, -73.973765)",mn-06-121535
LINK-000327,Manhattan,106,40.752666,-73.972842,Not Ready for CX,A - Link Live,121358,721 3Rd Ave E45St,214 SW,NY-MN,12/1/15,"(40.752665999999998, -73.972842)",mn-06-121358
LINK-000328,Manhattan,106,40.753196,-73.972445,Not Ready for CX,A - Link Live,121370,733 3Rd Ave,17 N,NY-MN,12/21/15,"(40.753196000000003, -73.972444999999993)",mn-06-121370
LINK-000331,Manhattan,106,40.753899,-73.972326,Not Ready for CX,A - Link Live,121816,750 3Rd Ave,78 E,NY-MN,11/21/15,"(40.753898999999997, -73.972325999999995)",mn-06-121816
LINK-000333,Manhattan,106,40.754092,-73.97218,Not Ready for CX,A - Link Live,133473,760 3Rd Ave,107 E,NY-MN,2/5/16,"(40.754092, -73.972179999999994)",mn-06-133473
LINK-000334,Manhattan,106,40.754513,-73.971879,Not Ready for CX,A - Link Live,121813,768 3Rd Ave,100 E,NY-MN,1/27/16,"(40.754513000000003, -73.971879000000001)",mn-06-121813
LINK-000335,Manhattan,106,40.75523,-73.971024,Not Ready for CX,A - Link Live,121824,797 3Rd Ave,316 NW,NY-MN,11/12/15,"(40.755229999999997, -73.971024)",mn-06-121824
LINK-000336,Manhattan,106,40.755874,-73.971032,Not Ready for CX,A - Link Live,121820,800 3Rd Ave,2 N,NY-MN,5/11/16,"(40.755873999999999, -73.971031999999994)",mn-06-121820
LINK-000337,Manhattan,106,40.755362,-73.971265,Not Ready for CX,A - Link Live,121822,800 3Rd Ave,102 E,NY-MN,11/19/15,"(40.755361999999998, -73.971265000000002)",mn-06-121822
LINK-000338,Manhattan,106,40.756324,-73.970145,Not Ready for CX,A - Link Live,121831,835 3Rd Ave,109 E,NY-MN,4/28/16,"(40.756323999999999, -73.970145000000002)",mn-06-121831
LINK-000339,Manhattan,106,40.756503,-73.970107,Not Ready for CX,A - Link Live,133472,845 3Rd Ave,324 NW,NY-MN,2/4/16,"(40.756503000000002, -73.970106999999999)",mn-06-133472
LINK-000340,Manhattan,106,40.75691,-73.969813,Not Ready for CX,A - Link Live,133477,845 3Rd Avenue,244 SW,NY-MN,3/1/16,"(40.756909999999998, -73.969813000000002)",mn-06-133477
LINK-000349,Manhattan,106,40.758518,-73.968987,Not Ready for CX,A - Link Live,135879,900 3Rd Ave,87 E,NY-MN,11/21/15,"(40.758518000000002, -73.968986999999998)",mn-06-135879
LINK-000350,Manhattan,106,40.758993,-73.968727,Not Ready for CX,A - Link Live,121842,906 3Rd Ave,1 N,NY-MN,5/23/16,"(40.758992999999997, -73.968727000000001)",mn-06-121842
LINK-000351,Manhattan,106,40.758397,-73.968709,Not Ready for CX,A - Link Live,121836,909 3Rd Avenue,149 SE,NY-MN,2/12/16,"(40.758397000000002, -73.968709000000004)",mn-06-121836
LINK-000352,Manhattan,106,40.758817,-73.96841,Not Ready for CX,A - Link Live,121854,909 3Rd Avenue,313 NW,NY-MN,2/12/16,"(40.758817000000001, -73.968410000000006)",mn-06-121854
LINK-000355,Manhattan,106,40.75961,-73.968242,Not Ready for CX,A - Link Live,121850,930 3Rd Ave,12 N,NY-MN,6/10/16,"(40.759610000000002, -73.968242000000004)",mn-06-121850
LINK-000357,Manhattan,106,40.759756,-73.968048,Not Ready for CX,A - Link Live,136181,936 3Rd Ave,96 E,NY-MN,2/19/16,"(40.759756000000003, -73.968047999999996)",mn-06-136181
LINK-000359,Manhattan,106,40.760003,-73.967592,Not Ready for CX,A - Link Live,133436,939 3Rd Avenue,309 NW,NY-MN,2/15/16,"(40.760002999999998, -73.967591999999996)",mn-06-133436
LINK-000360,Manhattan,106,40.759631,-73.967826,Not Ready for CX,A - Link Live,121849,949 3Rd Avenue,325 NW,NY-MN,2/15/16,"(40.759630999999999, -73.967826000000002)",mn-06-121849
LINK-000361,Manhattan,106,40.760136,-73.967777,Not Ready for CX,A - Link Live,121733,950 3Rd Ave,106 E,NY-MN,2/19/16,"(40.760136000000003, -73.967776999999998)",mn-06-121733
LINK-000362,Manhattan,106,40.760346,-73.967303,Not Ready for CX,A - Link Live,121857,953 3Rd Avenue,317 NW,NY-MN,5/31/16,"(40.760345999999998, -73.967303000000001)",mn-06-121857
LINK-000363,Manhattan,106,40.760462,-73.967551,Not Ready for CX,A - Link Live,138438,954 3Rd Ave,146 SE,NY-MN,2/19/16,"(40.760461999999997, -73.967551)",mn-06-138438
LINK-000364,Manhattan,106,40.760651,-73.967084,Not Ready for CX,A - Link Live,133481,969 3Rd Ave,337 NW,NY-MN,8/12/16,"(40.760651000000003, -73.967084)",mn-06-133481
LINK-000366,Manhattan,106,40.761086,-73.967078,Not Ready for CX,A - Link Live,133433,974 3Rd Ave,26 NE,NY-MN,8/12/16,"(40.761085999999999, -73.967078000000001)",mn-06-133433
LINK-000369,Manhattan,108,40.761604,-73.966388,Not Ready for CX,A - Link Live,121734,991 3Rd Ave,44 NE,NY-MN,2/20/16,"(40.761603999999998, -73.966387999999995)",mn-08-121734
LINK-000447,Manhattan,102,40.739442,-74.002597,Not Ready for CX,A - Link Live,128511,74 8 AVENUE,292 W,NY-MN,3/10/16,"(40.739441999999997, -74.002596999999994)",mn-02-128511
LINK-000453,Manhattan,104,40.742297,-74.00094,Not Ready for CX,A - Link Live,108537,159 8 Avenue,357 N,NY-MN,3/17/16,"(40.742297000000001, -74.00094)",mn-04-108537
LINK-000458,Manhattan,105,40.767271,-73.982247,Not Ready for CX,A - Link Live,122628,1775 Broadway,12 N,NY-MN,3/2/16,"(40.767271000000001, -73.982247000000001)",mn-05-122628
LINK-000462,Manhattan,104,40.743582,-73.999902,Not Ready for CX,A - Link Live,123508,199 8 Avenue,43 NE,NY-MN,3/17/16,"(40.743582000000004, -73.999902000000006)",mn-04-123508
LINK-000464,Manhattan,104,40.744263,-73.999405,Not Ready for CX,A - Link Live,107977,221 8 Avenue,76 E,NY-MN,3/15/16,"(40.744262999999997, -73.999404999999996)",mn-04-107977
LINK-000465,Manhattan,104,40.744403,-73.998993,Not Ready for CX,A - Link Live,123501,232 8 Avenue,318 NW,NY-MN,3/7/16,"(40.744402999999998, -73.998992999999999)",mn-04-123501
LINK-000466,Manhattan,104,40.744589,-73.999171,Not Ready for CX,A - Link Live,108002,233 8 Avenue,60 NE,NY-MN,3/15/16,"(40.744588999999998, -73.999171000000004)",mn-04-108002
LINK-000468,Manhattan,104,40.74475,-73.998736,Not Ready for CX,A - Link Live,108509,238 8 Avenue,309 NW,NY-MN,3/15/16,"(40.744750000000003, -73.998735999999994)",mn-04-108509
LINK-000469,Manhattan,105,40.747905,-73.996434,Not Ready for CX,A - Link Live,137326,243 West 27Th St,327 NW,NY-MN,5/31/16,"(40.747905000000003, -73.996433999999994)",mn-05-137326
LINK-000472,Manhattan,105,40.763424,-73.985061,Not Ready for CX,A - Link Live,139276,260 West 52St,19 N,NY-MN,3/3/16,"(40.763424000000001, -73.985061000000002)",mn-05-139276
LINK-000473,Manhattan,104,40.745445,-73.998618,Not Ready for CX,A - Link Live,123646,261 West 23St,199 S,NY-MN,5/17/16,"(40.745444999999997, -73.998617999999993)",mn-04-123646
LINK-000475,Manhattan,105,40.757544,-73.989409,Not Ready for CX,A - Link Live,107818,670 8 AVENUE,321 NW,NY-MN,3/11/16,"(40.757544000000003, -73.989408999999995)",mn-05-107818
LINK-000480,Manhattan,105,40.757753,-73.989252,Not Ready for CX,A - Link Live,121354,270 West 43St,326 NW,NY-MN,3/10/16,"(40.757753000000001, -73.989251999999993)",mn-05-121354
LINK-000483,Manhattan,104,40.745929,-73.997753,Not Ready for CX,A - Link Live,139167,282 8 Avenue,245 SW,NY-MN,3/8/16,"(40.745928999999997, -73.997753000000003)",mn-04-139167
LINK-000484,Manhattan,104,40.766642,-73.983101,Not Ready for CX,A - Link Live,122503,300 West 57Th St,98 E,NY-MN,3/4/16,"(40.766641999999997, -73.983101000000005)",mn-04-122503
LINK-000486,Manhattan,104,40.766947,-73.98315,Not Ready for CX,A - Link Live,133373,301 West 57Th St,200 S,NY-MN,7/11/16,"(40.766947000000002, -73.983149999999995)",mn-04-133373
LINK-000487,Manhattan,104,40.766964,-73.982855,Not Ready for CX,A - Link Live,122621,302 West 57Th St,118 SE,NY-MN,7/14/16,"(40.766964000000002, -73.982855000000001)",mn-04-122621
LINK-000489,Manhattan,104,40.754138,-73.992341,Not Ready for CX,A - Link Live,122567,302 West 37St,7 N,NY-MN,3/3/16,"(40.754137999999998, -73.992340999999996)",mn-04-122567
LINK-000493,Manhattan,104,40.747381,-73.997136,Not Ready for CX,A - Link Live,123656,327 8 Avenue,104 E,NY-MN,4/11/16,"(40.747380999999997, -73.997135999999998)",mn-04-123656
LINK-000496,Manhattan,105,40.749122,-73.995553,Not Ready for CX,A - Link Live,136213,382 8 Avenue,344 N,NY-MN,3/15/16,"(40.749122, -73.995553000000001)",mn-05-136213
LINK-000498,Manhattan,104,40.767363,-73.982576,Not Ready for CX,A - Link Live,144139,4 Columbus Circle,126 SE,NY-MN,7/19/16,"(40.767363000000003, -73.982575999999995)",mn-04-144139
LINK-000501,Manhattan,104,40.749828,-73.995525,Not Ready for CX,A - Link Live,108137,403 8Th Av,213 SW,NY-MN,4/7/16,"(40.749828000000001, -73.995525000000001)",mn-04-108137
LINK-000503,Manhattan,104,40.75023,-73.995059,Not Ready for CX,A - Link Live,122691,413 8 Avenue,37 NE,NY-MN,3/15/16,"(40.750230000000002, -73.995058999999998)",mn-04-122691
LINK-000505,Manhattan,105,40.752709,-73.992756,Not Ready for CX,A - Link Live,108471,494 8 Avenue,13 N,NY-MN,4/11/16,"(40.752709000000003, -73.992756)",mn-05-108471
LINK-000508,Manhattan,105,40.752949,-73.992762,Not Ready for CX,A - Link Live,122305,500 8 Avenue,310 NW,NY-MN,4/11/16,"(40.752949000000001, -73.992761999999999)",mn-05-122305
LINK-000511,Manhattan,104,40.75343,-73.992731,Not Ready for CX,A - Link Live,122068,519 8 Avenue,28 NE,NY-MN,3/14/16,"(40.753430000000002, -73.992731000000006)",mn-04-122068
LINK-000513,Manhattan,104,40.753643,-73.992565,Not Ready for CX,A - Link Live,108109,523 8 Avenue,100 E,NY-MN,3/14/16,"(40.753642999999997, -73.992564999999999)",mn-04-108109
LINK-000516,Manhattan,105,40.754171,-73.991871,Not Ready for CX,A - Link Live,108433,550 8 Avenue,334 NW,NY-MN,3/10/16,"(40.754170999999999, -73.991871000000003)",mn-05-108433
LINK-000518,Manhattan,104,40.754668,-73.991821,Not Ready for CX,A - Link Live,122565,557 8 Avenue,125 SE,NY-MN,3/29/16,"(40.754668000000002, -73.991821000000002)",mn-04-122565
LINK-000522,Manhattan,104,40.755283,-73.991376,Not Ready for CX,A - Link Live,122078,589 8 Avenue,78 E,NY-MN,3/3/16,"(40.755282999999999, -73.991376000000002)",mn-04-122078
LINK-000524,Manhattan,104,40.7555,-73.991425,Not Ready for CX,A - Link Live,136982,601 8 Avenue,203 S,NY-MN,3/14/16,"(40.755499999999998, -73.991425000000007)",mn-04-136982
LINK-000525,Manhattan,104,40.755879,-73.990935,Not Ready for CX,A - Link Live,122075,615 8 Avenue,71 E,NY-MN,3/10/16,"(40.755879, -73.990934999999993)",mn-04-122075
LINK-000527,Manhattan,104,40.758668,-73.988905,Not Ready for CX,A - Link Live,142001,701 8 Avenue,85 E,NY-MN,3/5/16,"(40.758668, -73.988905000000003)",mn-04-142001
LINK-000528,Manhattan,104,40.758832,-73.988782,Not Ready for CX,A - Link Live,108485,705 8 Avenue,35 NE,NY-MN,3/5/16,"(40.758831999999998, -73.988782)",mn-04-108485
LINK-000529,Manhattan,104,40.759109,-73.988585,Not Ready for CX,A - Link Live,122583,713 8 Avenue,57 NE,NY-MN,3/5/16,"(40.759109000000002, -73.988585)",mn-04-122583
LINK-000531,Manhattan,105,40.759221,-73.988186,Not Ready for CX,A - Link Live,122092,724 8 Avenue,310 NW,NY-MN,3/10/16,"(40.759220999999997, -73.988185999999999)",mn-05-122092
LINK-000532,Manhattan,102,40.739672,-74.002748,Not Ready for CX,A - Link Live,123540,75 8 Avenue,195 S,NY-MN,3/8/16,"(40.739671999999999, -74.002747999999997)",mn-02-123540
LINK-000533,Manhattan,104,40.76107,-73.987254,Not Ready for CX,A - Link Live,108148,787 8 Avenue,28 NE,NY-MN,3/3/16,"(40.761069999999997, -73.987253999999993)",mn-04-108148
LINK-000535,Manhattan,105,40.761094,-73.986828,CX Complete / Link Installed,A - Link Live,122586,790 8 Avenue,298 NW,NY-MN,3/14/16,"(40.761094, -73.986828000000003)",mn-05-122586
LINK-000537,Manhattan,104,40.739846,-74.002305,Not Ready for CX,A - Link Live,122299,80 8 Avenue,324 NW,NY-MN,3/25/16,"(40.739846, -74.002305000000007)",mn-04-122299
LINK-000538,Manhattan,104,40.739722,-74.002214,Not Ready for CX,A - Link Live,123541,80 8 Avenue,286 W,NY-MN,3/8/16,"(40.739722, -74.002213999999995)",mn-04-123541
LINK-000539,Manhattan,104,40.762247,-73.986295,Not Ready for CX,A - Link Live,122595,825 8 Avenue,69 E,NY-MN,3/3/16,"(40.762247000000002, -73.986294999999998)",mn-04-122595
LINK-000540,Manhattan,105,40.762151,-73.986052,Not Ready for CX,A - Link Live,139462,828 8 Avenue,267 W,NY-MN,3/3/16,"(40.762151000000003, -73.986052000000001)",mn-05-139462
LINK-000541,Manhattan,105,40.762331,-73.985923,CX Complete / Link Installed,A - Link Live,122593,830 8 Avenue,321 NW,NY-MN,4/10/16,"(40.762331000000003, -73.985923)",mn-05-122593
LINK-000549,Manhattan,104,40.764338,-73.984767,Not Ready for CX,A - Link Live,122620,891 8 Avenue,22 NE,NY-MN,4/7/16,"(40.764338000000002, -73.984767000000005)",mn-04-122620
LINK-000550,Manhattan,105,40.764646,-73.984229,Not Ready for CX,A - Link Live,122615,900 8 Avenue,308 NW,NY-MN,3/3/16,"(40.764645999999999, -73.984228999999999)",mn-05-122615
LINK-000551,Manhattan,105,40.764212,-73.984544,Not Ready for CX,A - Link Live,139461,900 8 Avenue,286 W,NY-MN,4/7/16,"(40.764212000000001, -73.984544)",mn-05-139461
LINK-000552,Manhattan,104,40.764744,-73.98447,Not Ready for CX,A - Link Live,139460,907 8 Avenue,99 E,NY-MN,3/2/16,"(40.764744, -73.984470000000002)",mn-04-139460
LINK-000553,Manhattan,105,40.764823,-73.984099,Not Ready for CX,A - Link Live,122619,910 8 Avenue,328 NW,NY-MN,3/3/16,"(40.764823, -73.984099000000001)",mn-05-122619
LINK-000554,Manhattan,104,40.764934,-73.984336,Not Ready for CX,A - Link Live,122616,911 8 Avenue,88 E,NY-MN,3/3/16,"(40.764933999999997, -73.984335999999999)",mn-04-122616
