"Name","Location","Type","lat","long"
"Juniper Valley Park","Lutheran Avenue; North and South Juniper boulevards; and the pathway from 76th Street on north end to 75th Street on south end","Bathrooms",39.9625984,39.9625984
"Lawerence Virgilio Playground","39 Drive & 54 Street","Bathrooms",29.932462,29.932462
"Michaelis-Bayswater Park","Beach Channel Drive, B 32 Street, Dwight Avenue, Norton Avenue","Bathrooms",39.9625984,39.9625984
"Arrochar Playground","Sand Lane, Major Avenue, McFarland Avenue","Bathrooms",39.9625984,39.9625984
"Blood Root Valley (Greenbelt Nature Center)","Rockland, Manor and Brielle avenues, Forest Hill Road","Bathrooms",39.9625984,39.9625984
"Blood Root Valley (Park House)","Rockland, Manor and Brielle avenues, Forest Hill Road","Bathrooms",39.9625984,39.9625984
"Blue Heron Park Preserve (Nature Center)","Poillon Avenue","Bathrooms",40.5308991,40.5308991
"Corporal Thompson Park/West Brighton Pool","Broadway, Henderson Avenue","Bathrooms",40.7755877,40.7755877
"Double Nickel Playground","Osborne Street and Preston Avenue","Bathrooms",40.5374905,40.5374905
"Grandview Playground","Grandview Avenue, Continental Place","Bathrooms",39.9625984,39.9625984
"High Rock Park (McArthur Park)","Richmond Parkway & Moravian Cemetery at Rockland Avenue","Bathrooms",37.9752082,37.9752082
"Joline Pool Playground (Modular Equipment)","Joline Avenue, Hylan Boulevard","Bathrooms",39.9625984,39.9625984
"Lyons Pool","Pier 6, Victory Boulevard","Bathrooms",39.9625984,39.9625984
"Markham Playground","Willowbrook Parkway, Forest Avenue & Houston Street","Bathrooms",41.7511858,41.7511858
"Midland Beach & Boardwalk","Natural Area and Boardwalk from Sands Lane to Vulcan Street, East of Father Capodanno Boulevard","Bathrooms",39.9625984,39.9625984
"Midland Field","Midland Avenue & Mason Avenue","Bathrooms",40.930903,40.930903
"South Beach (Saturn Playground)","Natural Area and Boardwalk from Sands Lane to Vulcan Street, East of Father Capodanno Boulevard","Bathrooms",39.9625984,39.9625984
"Stapleton Playground","Tompkins Avenue & Broad Street","Bathrooms",40.6898391,40.6898391
"Terrace Playground","Howard Avenue & Martha Street","Bathrooms",41.2938061,41.2938061
"Todt Hill Playground","Schmidts Lane & Manor Road","Bathrooms",40.6094076,40.6094076
"Coney Island","Brighton 2nd","Bathrooms",40.5769054,40.5769054
"Coney Island","W 27 ST.","Bathrooms",40.7478166,40.7478166
"Coney Island","W 33 St.","Bathrooms",40.7517725,40.7517725
"Marine Park Nature Center","East 33rd Street and Avenue U","Bathrooms",40.7457322,40.7457322
"Bendheim Playground","100th Street and Fifth Ave","Bathrooms",39.9625984,39.9625984
"Liberty Pool","173rd Street and 106th Avenue","Bathrooms",40.7020409,40.7020409
"Ederle Comfort Station","","Bathrooms",40.7127837,40.7127837
"Rockaway Beach 86 Comfort Station","Beach 86 Street","Bathrooms",40.5890567,40.5890567
"Rockaway Beach 97 Comfort Station","Beach 97 Street","Bathrooms",40.584947,40.584947
"Rockaway Beach 106 Comfort Station","Beach 106 Street","Bathrooms",40.582913,40.582913
"Rockaway Beach 117th L/G","Beach 117 Street","Bathrooms",40.5795009,40.5795009
"Bloomingdale Park","Richmond Pkwy, Bloomingdale Rd., Lenevar Ave","Bathrooms",32.1779885,32.1779885
"Conference House Park","Pittsville St,Hylan Blvd.,Surf,Richard Aves","Bathrooms",39.9625984,39.9625984
